U 10
0 1 6.18034
0 2 11.7557
0 3 16.1803
0 4 19.0211
0 5 20
0 6 19.0211
0 7 16.1803
0 8 11.7557
0 9 6.18034
1 2 6.18034
1 3 11.7557
1 4 16.1803
1 5 19.0211
1 6 20
1 7 19.0211
1 8 16.1803
1 9 11.7557
2 3 6.18034
2 4 11.7557
2 5 16.1803
2 6 19.0211
2 7 20
2 8 19.0211
2 9 16.1803
3 4 6.18034
3 5 11.7557
3 6 16.1803
3 7 19.0211
3 8 20
3 9 19.0211
4 5 6.18034
4 6 11.7557
4 7 16.1803
4 8 19.0211
4 9 20
5 6 6.18034
5 7 11.7557
5 8 16.1803
5 9 19.0211
6 7 6.18034
6 8 11.7557
6 9 16.1803
7 8 6.18034
7 9 11.7557
8 9 6.18034
