U 80
0 1 14.9843
0 2 16.2695
0 3 17.5348
0 4 18.7789
0 5 20
0 6 21.1968
0 7 22.3677
0 8 23.5114
0 9 24.6265
0 10 25.7115
0 11 26.7652
0 12 27.7863
0 13 28.7736
0 14 29.7258
0 15 30.6418
0 16 31.5204
0 17 32.3607
0 18 33.1615
0 19 33.9219
0 20 34.641
0 21 35.3179
0 22 35.9518
0 23 36.5418
0 24 37.0874
0 25 37.5877
0 26 38.0423
0 27 38.4505
0 28 38.8118
0 29 39.1259
0 30 39.3923
0 31 39.6107
0 32 39.7809
0 33 39.9026
0 34 39.9756
0 35 40
0 36 39.9756
0 37 39.9026
0 38 39.7809
0 39 39.6107
0 40 39.3923
0 41 39.1259
0 42 38.8118
0 43 38.4505
0 44 38.0423
0 45 37.5877
0 46 37.0874
0 47 36.5418
0 48 35.9518
0 49 35.3179
0 50 34.641
0 51 33.9219
0 52 33.1615
0 53 32.3607
0 54 31.5204
0 55 30.6418
0 56 29.7258
0 57 28.7736
0 58 27.7863
0 59 26.7652
0 60 25.7115
0 61 24.6265
0 62 23.5114
0 63 22.3677
0 64 21.1968
0 65 20
0 66 18.7789
0 67 17.5348
0 68 16.2695
0 69 14.9843
0 70 13.6808
0 71 12.3607
0 72 11.0255
0 73 9.67688
0 74 8.31647
0 75 6.94593
0 76 5.56692
0 77 4.18114
0 78 2.79026
0 79 1.39598
1 2 1.39598
1 3 2.79026
1 4 4.18114
1 5 5.56692
1 6 6.94593
1 7 8.31647
1 8 9.67688
1 9 11.0255
1 10 12.3607
1 11 13.6808
1 12 14.9843
1 13 16.2695
1 14 17.5348
1 15 18.7789
1 16 20
1 17 21.1968
1 18 22.3677
1 19 23.5114
1 20 24.6265
1 21 25.7115
1 22 26.7652
1 23 27.7863
1 24 28.7736
1 25 29.7258
1 26 30.6418
1 27 31.5204
1 28 32.3607
1 29 33.1615
1 30 33.9219
1 31 34.641
1 32 35.3179
1 33 35.9518
1 34 36.5418
1 35 37.0874
1 36 37.5877
1 37 38.0423
1 38 38.4505
1 39 38.8118
1 40 39.1259
1 41 39.3923
1 42 39.6107
1 43 39.7809
1 44 39.9026
1 45 39.9756
1 46 40
1 47 39.9756
1 48 39.9026
1 49 39.7809
1 50 39.6107
1 51 39.3923
1 52 39.1259
1 53 38.8118
1 54 38.4505
1 55 38.0423
1 56 37.5877
1 57 37.0874
1 58 36.5418
1 59 35.9518
1 60 35.3179
1 61 34.641
1 62 33.9219
1 63 33.1615
1 64 32.3607
1 65 31.5204
1 66 30.6418
1 67 29.7258
1 68 28.7736
1 69 27.7863
1 70 26.7652
1 71 25.7115
1 72 24.6265
1 73 23.5114
1 74 22.3677
1 75 21.1968
1 76 20
1 77 18.7789
1 78 17.5348
1 79 16.2695
2 3 1.39598
2 4 2.79026
2 5 4.18114
2 6 5.56692
2 7 6.94593
2 8 8.31647
2 9 9.67688
2 10 11.0255
2 11 12.3607
2 12 13.6808
2 13 14.9843
2 14 16.2695
2 15 17.5348
2 16 18.7789
2 17 20
2 18 21.1968
2 19 22.3677
2 20 23.5114
2 21 24.6265
2 22 25.7115
2 23 26.7652
2 24 27.7863
2 25 28.7736
2 26 29.7258
2 27 30.6418
2 28 31.5204
2 29 32.3607
2 30 33.1615
2 31 33.9219
2 32 34.641
2 33 35.3179
2 34 35.9518
2 35 36.5418
2 36 37.0874
2 37 37.5877
2 38 38.0423
2 39 38.4505
2 40 38.8118
2 41 39.1259
2 42 39.3923
2 43 39.6107
2 44 39.7809
2 45 39.9026
2 46 39.9756
2 47 40
2 48 39.9756
2 49 39.9026
2 50 39.7809
2 51 39.6107
2 52 39.3923
2 53 39.1259
2 54 38.8118
2 55 38.4505
2 56 38.0423
2 57 37.5877
2 58 37.0874
2 59 36.5418
2 60 35.9518
2 61 35.3179
2 62 34.641
2 63 33.9219
2 64 33.1615
2 65 32.3607
2 66 31.5204
2 67 30.6418
2 68 29.7258
2 69 28.7736
2 70 27.7863
2 71 26.7652
2 72 25.7115
2 73 24.6265
2 74 23.5114
2 75 22.3677
2 76 21.1968
2 77 20
2 78 18.7789
2 79 17.5348
3 4 1.39598
3 5 2.79026
3 6 4.18114
3 7 5.56692
3 8 6.94593
3 9 8.31647
3 10 9.67688
3 11 11.0255
3 12 12.3607
3 13 13.6808
3 14 14.9843
3 15 16.2695
3 16 17.5348
3 17 18.7789
3 18 20
3 19 21.1968
3 20 22.3677
3 21 23.5114
3 22 24.6265
3 23 25.7115
3 24 26.7652
3 25 27.7863
3 26 28.7736
3 27 29.7258
3 28 30.6418
3 29 31.5204
3 30 32.3607
3 31 33.1615
3 32 33.9219
3 33 34.641
3 34 35.3179
3 35 35.9518
3 36 36.5418
3 37 37.0874
3 38 37.5877
3 39 38.0423
3 40 38.4505
3 41 38.8118
3 42 39.1259
3 43 39.3923
3 44 39.6107
3 45 39.7809
3 46 39.9026
3 47 39.9756
3 48 40
3 49 39.9756
3 50 39.9026
3 51 39.7809
3 52 39.6107
